time,longitude,latitude,strd [J/m2],LWR [J/m2/s]
2015-01-01 0:00,4.5,52,849607.9,236.0021944
2015-01-01 1:00,4.5,52,872158.5,242.26625
2015-01-01 2:00,4.5,52,887656.06,246.5711278
2015-01-01 3:00,4.5,52,936235.9,260.0655278
2015-01-01 4:00,4.5,52,900946.5,250.2629167
2015-01-01 5:00,4.5,52,894781.1,248.5503056
2015-01-01 6:00,4.5,52,881370.6,244.8251667
2015-01-01 7:00,4.5,52,865249.4,240.3470556
2015-01-01 8:00,4.5,52,897947.75,249.4299306
2015-01-01 9:00,4.5,52,948662.7,263.5174167
2015-01-01 10:00,4.5,52,1055874.1,293.2983611
2015-01-01 11:00,4.5,52,1083822.5,301.0618056
2015-01-01 12:00,4.5,52,976299.2,271.1942222
2015-01-01 13:00,4.5,52,948422.8,263.4507778
2015-01-01 14:00,4.5,52,998442,277.345
2015-01-01 15:00,4.5,52,994027.9,276.1188611
2015-01-01 16:00,4.5,52,1013627.7,281.56325
2015-01-01 17:00,4.5,52,1007702.2,279.9172778
2015-01-01 18:00,4.5,52,1041840,289.4
2015-01-01 19:00,4.5,52,1040760.44,289.1001222
2015-01-01 20:00,4.5,52,1064846.4,295.7906667
2015-01-01 21:00,4.5,52,1090851.6,303.0143333
2015-01-01 22:00,4.5,52,1096009.5,304.4470833
2015-01-01 23:00,4.5,52,1089484.1,302.6344722
2015-01-02 0:00,4.5,52,1165268.6,323.6857222
2015-01-02 1:00,4.5,52,1216967.2,338.0464444
2015-01-02 2:00,4.5,52,1241629,344.8969444
2015-01-02 3:00,4.5,52,1246163,346.1563889
2015-01-02 4:00,4.5,52,1262020.5,350.56125
2015-01-02 5:00,4.5,52,1278933.5,355.2593056
2015-01-02 6:00,4.5,52,1300620.5,361.2834722
2015-01-02 7:00,4.5,52,1308129.2,363.3692222
2015-01-02 8:00,4.5,52,1267538.2,352.0939444
2015-01-02 9:00,4.5,52,1064990.4,295.8306667
2015-01-02 10:00,4.5,52,951253.6,264.2371111
2015-01-02 11:00,4.5,52,914021.1,253.89475
2015-01-02 12:00,4.5,52,913493.3,253.7481389
2015-01-02 13:00,4.5,52,903561.44,250.9892889
2015-01-02 14:00,4.5,52,895764.7,248.8235278
2015-01-02 15:00,4.5,52,902577.9,250.7160833
2015-01-02 16:00,4.5,52,883289.9,245.3583056
2015-01-02 17:00,4.5,52,898667.5,249.6298611
2015-01-02 18:00,4.5,52,903465.5,250.9626389
2015-01-02 19:00,4.5,52,929590.6,258.2196111
2015-01-02 20:00,4.5,52,885305,245.9180556
2015-01-02 21:00,4.5,52,877988.06,243.8855722
2015-01-02 22:00,4.5,52,888975.5,246.9376389
2015-01-02 23:00,4.5,52,977330.75,271.4807639
2015-01-03 0:00,4.5,52,1007198.4,279.7773333
2015-01-03 1:00,4.5,52,1001848.6,278.2912778
2015-01-03 2:00,4.5,52,986950.8,274.153
2015-01-03 3:00,4.5,52,1020464.9,283.4624722
2015-01-03 4:00,4.5,52,1057577.4,293.7715
2015-01-03 5:00,4.5,52,1061535.8,294.8710556
2015-01-03 6:00,4.5,52,1091379.4,303.1609444
2015-01-03 7:00,4.5,52,1102414.8,306.2263333
2015-01-03 8:00,4.5,52,1119903.5,311.0843056
2015-01-03 9:00,4.5,52,1132522.2,314.5895
2015-01-03 10:00,4.5,52,1154713.1,320.7536389
2015-01-03 11:00,4.5,52,1174001,326.1113889
2015-01-03 12:00,4.5,52,1180958.1,328.0439167
2015-01-03 13:00,4.5,52,1170330.6,325.0918333
2015-01-03 14:00,4.5,52,1149795.1,319.3875278
2015-01-03 15:00,4.5,52,1152506,320.1405556
2015-01-03 16:00,4.5,52,1152194.1,320.0539167
2015-01-03 17:00,4.5,52,1149195.4,319.2209444
2015-01-03 18:00,4.5,52,1150179,319.4941667
2015-01-03 19:00,4.5,52,1143125.9,317.5349722
2015-01-03 20:00,4.5,52,1088428.6,302.3412778
2015-01-03 21:00,4.5,52,1046278.1,290.6328056
2015-01-03 22:00,4.5,52,982488.6,272.9135
2015-01-03 23:00,4.5,52,984239.94,273.3999833
2015-01-04 0:00,4.5,52,952549.06,264.5969611
2015-01-04 1:00,4.5,52,923425.2,256.507
2015-01-04 2:00,4.5,52,970325.7,269.5349167
2015-01-04 3:00,4.5,52,1020728.75,283.5357639
2015-01-04 4:00,4.5,52,1026942.2,285.2617222
2015-01-04 5:00,4.5,52,991340.94,275.3724833
2015-01-04 6:00,4.5,52,955236,265.3433333
2015-01-04 7:00,4.5,52,883265.9,245.3516389
2015-01-04 8:00,4.5,52,928655,257.9597222
2015-01-04 9:00,4.5,52,917427.7,254.8410278
2015-01-04 10:00,4.5,52,914740.8,254.0946667
2015-01-04 11:00,4.5,52,967350.94,268.7085944
2015-01-04 12:00,4.5,52,984311.9,273.4199722
2015-01-04 13:00,4.5,52,982728.56,272.9801556
2015-01-04 14:00,4.5,52,988030.3,274.4528611
2015-01-04 15:00,4.5,52,914333,253.9813889
2015-01-04 16:00,4.5,52,895404.8,248.7235556
2015-01-04 17:00,4.5,52,886912.4,246.3645556
2015-01-04 18:00,4.5,52,883385.8,245.3849444
2015-01-04 19:00,4.5,52,864457.7,240.1271389
2015-01-04 20:00,4.5,52,851215.2,236.4486667
2015-01-04 21:00,4.5,52,847280.8,235.3557778
2015-01-04 22:00,4.5,52,851359.1,236.4886389
2015-01-04 23:00,4.5,52,857788.5,238.2745833
2015-01-05 0:00,4.5,52,883457.8,245.4049444
2015-01-05 1:00,4.5,52,988870,274.6861111
2015-01-05 2:00,4.5,52,1020129,283.3691667
2015-01-05 3:00,4.5,52,1030060.9,286.1280278
2015-01-05 4:00,4.5,52,1084638.2,301.2883889
2015-01-05 5:00,4.5,52,1084662.1,301.2950278
2015-01-05 6:00,4.5,52,1084158.4,301.1551111
2015-01-05 7:00,4.5,52,1057145.6,293.6515556
2015-01-05 8:00,4.5,52,1031524.25,286.5345139
2015-01-05 9:00,4.5,52,1041983.94,289.4399833
2015-01-05 10:00,4.5,52,1054986.5,293.0518056
2015-01-05 11:00,4.5,52,1062759.2,295.2108889
2015-01-05 12:00,4.5,52,1085118,301.4216667
2015-01-05 13:00,4.5,52,1125709.1,312.6969722
2015-01-05 14:00,4.5,52,1126021,312.7836111
2015-01-05 15:00,4.5,52,1163301.5,323.1393056
2015-01-05 16:00,4.5,52,1187579.4,329.8831667
2015-01-05 17:00,4.5,52,1196215.9,332.2821944
2015-01-05 18:00,4.5,52,1169227,324.7852778
2015-01-05 19:00,4.5,52,1183861,328.8502778
2015-01-05 20:00,4.5,52,1182013.8,328.3371667
2015-01-05 21:00,4.5,52,1188467,330.1297222
2015-01-05 22:00,4.5,52,1202765.1,334.1014167
