time,longitude,latitude,ssrd [J/m2],SWR [J/m2/S]
2015-01-01 0:00,4.5,52,0,0
2015-01-01 1:00,4.5,52,0,0
2015-01-01 2:00,4.5,52,0,0
2015-01-01 3:00,4.5,52,0,0
2015-01-01 4:00,4.5,52,0,0
2015-01-01 5:00,4.5,52,0,0
2015-01-01 6:00,4.5,52,0,0
2015-01-01 7:00,4.5,52,0,0
2015-01-01 8:00,4.5,52,213.25,0.059236111
2015-01-01 9:00,4.5,52,101667.25,28.24090278
2015-01-01 10:00,4.5,52,269620.5,74.89458333
2015-01-01 11:00,4.5,52,466418.5,129.5606944
2015-01-01 12:00,4.5,52,569861.9,158.2949722
2015-01-01 13:00,4.5,52,619665.25,172.1292361
2015-01-01 14:00,4.5,52,374484.75,104.0235417
2015-01-01 15:00,4.5,52,172642.5,47.95625
2015-01-01 16:00,4.5,52,21598.25,5.999513889
2015-01-01 17:00,4.5,52,0,0
2015-01-01 18:00,4.5,52,0,0
2015-01-01 19:00,4.5,52,0,0
2015-01-01 20:00,4.5,52,0,0
2015-01-01 21:00,4.5,52,0,0
2015-01-01 22:00,4.5,52,0,0
2015-01-01 23:00,4.5,52,0,0
2015-01-02 0:00,4.5,52,0,0
2015-01-02 1:00,4.5,52,0,0
2015-01-02 2:00,4.5,52,0,0
2015-01-02 3:00,4.5,52,0,0
2015-01-02 4:00,4.5,52,0,0
2015-01-02 5:00,4.5,52,0,0
2015-01-02 6:00,4.5,52,0,0
2015-01-02 7:00,4.5,52,0,0
2015-01-02 8:00,4.5,52,0,0
2015-01-02 9:00,4.5,52,92573.25,25.71479167
2015-01-02 10:00,4.5,52,362833.12,100.7869778
2015-01-02 11:00,4.5,52,620944,172.4844444
2015-01-02 12:00,4.5,52,786694.9,218.5263611
2015-01-02 13:00,4.5,52,739165,205.3236111
2015-01-02 14:00,4.5,52,570217,158.3936111
2015-01-02 15:00,4.5,52,287595.12,79.88753333
2015-01-02 16:00,4.5,52,36873,10.2425
2015-01-02 17:00,4.5,52,0,0
2015-01-02 18:00,4.5,52,0,0
2015-01-02 19:00,4.5,52,0,0
2015-01-02 20:00,4.5,52,0,0
2015-01-02 21:00,4.5,52,0,0
2015-01-02 22:00,4.5,52,0,0
2015-01-02 23:00,4.5,52,0,0
2015-01-03 0:00,4.5,52,0,0
2015-01-03 1:00,4.5,52,0,0
2015-01-03 2:00,4.5,52,0,0
2015-01-03 3:00,4.5,52,0,0
2015-01-03 4:00,4.5,52,0,0
2015-01-03 5:00,4.5,52,0,0
2015-01-03 6:00,4.5,52,0,0
2015-01-03 7:00,4.5,52,0,0
2015-01-03 8:00,4.5,52,71.25,0.019791667
2015-01-03 9:00,4.5,52,30052.75,8.347986111
2015-01-03 10:00,4.5,52,66641.5,18.51152778
2015-01-03 11:00,4.5,52,116871,32.46416667
2015-01-03 12:00,4.5,52,111258.5,30.90513889
2015-01-03 13:00,4.5,52,114171.25,31.71423611
2015-01-03 14:00,4.5,52,109979.75,30.54993056
2015-01-03 15:00,4.5,52,71970,19.99166667
2015-01-03 16:00,4.5,52,10088.75,2.802430556
2015-01-03 17:00,4.5,52,0,0
2015-01-03 18:00,4.5,52,0,0
2015-01-03 19:00,4.5,52,0,0
2015-01-03 20:00,4.5,52,0,0
2015-01-03 21:00,4.5,52,0,0
2015-01-03 22:00,4.5,52,0,0
2015-01-03 23:00,4.5,52,0,0
2015-01-04 0:00,4.5,52,0,0
2015-01-04 1:00,4.5,52,0,0
2015-01-04 2:00,4.5,52,0,0
2015-01-04 3:00,4.5,52,0,0
2015-01-04 4:00,4.5,52,0,0
2015-01-04 5:00,4.5,52,0,0
2015-01-04 6:00,4.5,52,0,0
2015-01-04 7:00,4.5,52,0,0
2015-01-04 8:00,4.5,52,355.25,0.098680556
2015-01-04 9:00,4.5,52,123620.5,34.33902778
2015-01-04 10:00,4.5,52,403755.75,112.154375
2015-01-04 11:00,4.5,52,559347,155.3741667
2015-01-04 12:00,4.5,52,655898.75,182.1940972
2015-01-04 13:00,4.5,52,644318.25,178.9772917
2015-01-04 14:00,4.5,52,471676,131.0211111
2015-01-04 15:00,4.5,52,285748,79.37444444
2015-01-04 16:00,4.5,52,40993.75,11.38715278
2015-01-04 17:00,4.5,52,0,0
2015-01-04 18:00,4.5,52,0,0
2015-01-04 19:00,4.5,52,0,0
2015-01-04 20:00,4.5,52,0,0
2015-01-04 21:00,4.5,52,0,0
2015-01-04 22:00,4.5,52,0,0
2015-01-04 23:00,4.5,52,0,0
2015-01-05 0:00,4.5,52,0,0
2015-01-05 1:00,4.5,52,0,0
2015-01-05 2:00,4.5,52,0,0
2015-01-05 3:00,4.5,52,0,0
2015-01-05 4:00,4.5,52,0,0
2015-01-05 5:00,4.5,52,0,0
2015-01-05 6:00,4.5,52,0,0
2015-01-05 7:00,4.5,52,0,0
2015-01-05 8:00,4.5,52,284.25,0.078958333
2015-01-05 9:00,4.5,52,93497,25.97138889
2015-01-05 10:00,4.5,52,256477,71.24361111
2015-01-05 11:00,4.5,52,426845.75,118.5682639
2015-01-05 12:00,4.5,52,381305.12,105.9180889
2015-01-05 13:00,4.5,52,380949.88,105.8194111
2015-01-05 14:00,4.5,52,269975.75,74.99326389
2015-01-05 15:00,4.5,52,99038.5,27.51069444
2015-01-05 16:00,4.5,52,11793.75,3.276041667
2015-01-05 17:00,4.5,52,0,0
2015-01-05 18:00,4.5,52,0,0
2015-01-05 19:00,4.5,52,0,0
2015-01-05 20:00,4.5,52,0,0
2015-01-05 21:00,4.5,52,0,0
2015-01-05 22:00,4.5,52,0,0
2015-01-05 23:00,4.5,52,0,0
2015-01-06 0:00,4.5,52,0,0
2015-01-06 1:00,4.5,52,0,0
2015-01-06 2:00,4.5,52,0,0
2015-01-06 3:00,4.5,52,0,0
2015-01-06 4:00,4.5,52,0,0
2015-01-06 5:00,4.5,52,0,0
2015-01-06 6:00,4.5,52,0,0
2015-01-06 7:00,4.5,52,0,0
2015-01-06 8:00,4.5,52,426.25,0.118402778
2015-01-06 9:00,4.5,52,110619,30.7275
2015-01-06 10:00,4.5,52,340169.38,94.49149444
2015-01-06 11:00,4.5,52,532846.75,148.0129861
2015-01-06 12:00,4.5,52,604674.5,167.9651389
2015-01-06 13:00,4.5,52,541159.1,150.3219722
2015-01-06 14:00,4.5,52,400771.88,111.3255222
2015-01-06 15:00,4.5,52,190048.75,52.79131944
2015-01-06 16:00,4.5,52,29200,8.111111111
2015-01-06 17:00,4.5,52,0,0
2015-01-06 18:00,4.5,52,0,0
2015-01-06 19:00,4.5,52,0,0
2015-01-06 20:00,4.5,52,0,0
2015-01-06 21:00,4.5,52,0,0
2015-01-06 22:00,4.5,52,0,0
2015-01-06 23:00,4.5,52,0,0
2015-01-07 0:00,4.5,52,0,0
2015-01-07 1:00,4.5,52,0,0
2015-01-07 2:00,4.5,52,0,0
2015-01-07 3:00,4.5,52,0,0
2015-01-07 4:00,4.5,52,0,0
2015-01-07 5:00,4.5,52,0,0
2015-01-07 6:00,4.5,52,0,0
2015-01-07 7:00,4.5,52,0,0
2015-01-07 8:00,4.5,52,568.5,0.157916667
2015-01-07 9:00,4.5,52,141382,39.27277778
2015-01-07 10:00,4.5,52,421091,116.9697222
2015-01-07 11:00,4.5,52,673447.25,187.0686806
2015-01-07 12:00,4.5,52,740728,205.7577778
2015-01-07 13:00,4.5,52,688438,191.2327778
2015-01-07 14:00,4.5,52,483824.88,134.3958
2015-01-07 15:00,4.5,52,238786.38,66.32955
2015-01-07 16:00,4.5,52,37512.5,10.42013889
2015-01-07 17:00,4.5,52,0,0
2015-01-07 18:00,4.5,52,0,0
2015-01-07 19:00,4.5,52,0,0
2015-01-07 20:00,4.5,52,0,0
