time,longitude,latitude,u10 [m/s]
2015-01-01 0:00,4.5,52,3.448547
2015-01-01 1:00,4.5,52,3.3624606
2015-01-01 2:00,4.5,52,3.0531507
2015-01-01 3:00,4.5,52,3.22232
2015-01-01 4:00,4.5,52,3.6857848
2015-01-01 5:00,4.5,52,2.7808776
2015-01-01 6:00,4.5,52,2.578675
2015-01-01 7:00,4.5,52,2.8189158
2015-01-01 8:00,4.5,52,2.9940915
2015-01-01 9:00,4.5,52,2.7048013
2015-01-01 10:00,4.5,52,3.0441415
2015-01-01 11:00,4.5,52,2.9450421
2015-01-01 12:00,4.5,52,3.1032007
2015-01-01 13:00,4.5,52,2.9210181
2015-01-01 14:00,4.5,52,3.5506494
2015-01-01 15:00,4.5,52,3.5166152
2015-01-01 16:00,4.5,52,2.9940915
2015-01-01 17:00,4.5,52,3.220318
2015-01-01 18:00,4.5,52,3.5746734
2015-01-01 19:00,4.5,52,4.0281277
2015-01-01 20:00,4.5,52,4.381482
2015-01-01 21:00,4.5,52,4.9070086
2015-01-01 22:00,4.5,52,5.55666
2015-01-01 23:00,4.5,52,6.2453504
2015-01-02 0:00,4.5,52,6.6027083
2015-01-02 1:00,4.5,52,7.051158
2015-01-02 2:00,4.5,52,7.359467
2015-01-02 3:00,4.5,52,7.908017
2015-01-02 4:00,4.5,52,8.56968
2015-01-02 5:00,4.5,52,8.704816
2015-01-02 6:00,4.5,52,9.133245
2015-01-02 7:00,4.5,52,8.657768
2015-01-02 8:00,4.5,52,7.868978
2015-01-02 9:00,4.5,52,7.4165244
2015-01-02 10:00,4.5,52,6.94305
2015-01-02 11:00,4.5,52,7.606715
2015-01-02 12:00,4.5,52,8.11022
2015-01-02 13:00,4.5,52,8.188298
2015-01-02 14:00,4.5,52,8.215325
2015-01-02 15:00,4.5,52,8.112222
2015-01-02 16:00,4.5,52,8.221332
2015-01-02 17:00,4.5,52,8.124234
2015-01-02 18:00,4.5,52,7.7568655
2015-01-02 19:00,4.5,52,7.379487
2015-01-02 20:00,4.5,52,7.2353425
2015-01-02 21:00,4.5,52,7.036143
2015-01-02 22:00,4.5,52,6.772879
2015-01-02 23:00,4.5,52,5.883988
2015-01-03 0:00,4.5,52,5.3144174
2015-01-03 1:00,4.5,52,5.1302323
2015-01-03 2:00,4.5,52,4.5976987
2015-01-03 3:00,4.5,52,3.9610608
2015-01-03 4:00,4.5,52,3.8459454
2015-01-03 5:00,4.5,52,4.0401397
2015-01-03 6:00,4.5,52,4.956058
2015-01-03 7:00,4.5,52,5.353456
2015-01-03 8:00,4.5,52,5.475579
2015-01-03 9:00,4.5,52,4.362463
2015-01-03 10:00,4.5,52,2.5626588
2015-01-03 11:00,4.5,52,2.569666
2015-01-03 12:00,4.5,52,2.3874834
2015-01-03 13:00,4.5,52,1.738833
2015-01-03 14:00,4.5,52,1.3314247
2015-01-03 15:00,4.5,52,0.9650574
2015-01-03 16:00,4.5,52,1.8869815
2015-01-03 17:00,4.5,52,2.4245205
2015-01-03 18:00,4.5,52,2.6747713
2015-01-03 19:00,4.5,52,2.9450421
2015-01-03 20:00,4.5,52,3.0441415
2015-01-03 21:00,4.5,52,2.9700673
2015-01-03 22:00,4.5,52,3.3474457
2015-01-03 23:00,4.5,52,3.3254235
2015-01-04 0:00,4.5,52,3.5356343
2015-01-04 1:00,4.5,52,3.758858
2015-01-04 2:00,4.5,52,3.6317306
2015-01-04 3:00,4.5,52,3.6447437
2015-01-04 4:00,4.5,52,3.6487477
2015-01-04 5:00,4.5,52,3.4225209
2015-01-04 6:00,4.5,52,3.218316
2015-01-04 7:00,4.5,52,3.0281255
2015-01-04 8:00,4.5,52,3.0791767
2015-01-04 9:00,4.5,52,3.109207
2015-01-04 10:00,4.5,52,3.2393372
2015-01-04 11:00,4.5,52,3.6767757
2015-01-04 12:00,4.5,52,3.9650648
2015-01-04 13:00,4.5,52,3.9590588
2015-01-04 14:00,4.5,52,3.453552
2015-01-04 15:00,4.5,52,2.9840813
2015-01-04 16:00,4.5,52,2.7558527
2015-01-04 17:00,4.5,52,2.7748716
