time,longitude,latitude,v10 [m/s]
2015-01-01 0:00,4.5,52,4.680826
2015-01-01 1:00,4.5,52,4.777037
2015-01-01 2:00,4.5,52,5.0356035
2015-01-01 3:00,4.5,52,4.7159033
2015-01-01 4:00,4.5,52,3.5212874
2015-01-01 5:00,4.5,52,5.3973956
2015-01-01 6:00,4.5,52,6.1129627
2015-01-01 7:00,4.5,52,5.4996195
2015-01-01 8:00,4.5,52,4.664791
2015-01-01 9:00,4.5,52,5.2280245
2015-01-01 10:00,4.5,52,5.095735
2015-01-01 11:00,4.5,52,5.368332
2015-01-01 12:00,4.5,52,5.5928235
2015-01-01 13:00,4.5,52,5.3332553
2015-01-01 14:00,4.5,52,5.9465985
2015-01-01 15:00,4.5,52,6.2242064
2015-01-01 16:00,4.5,52,6.703255
2015-01-01 17:00,4.5,52,7.134199
2015-01-01 18:00,4.5,52,7.5691514
2015-01-01 19:00,4.5,52,7.896869
2015-01-01 20:00,4.5,52,8.2626705
2015-01-01 21:00,4.5,52,8.633482
2015-01-01 22:00,4.5,52,8.876013
2015-01-01 23:00,4.5,52,8.884031
2015-01-02 0:00,4.5,52,8.885033
2015-01-02 1:00,4.5,52,8.411997
2015-01-02 2:00,4.5,52,8.049202
2015-01-02 3:00,4.5,52,7.643314
2015-01-02 4:00,4.5,52,6.4316607
2015-01-02 5:00,4.5,52,5.3773518
2015-01-02 6:00,4.5,52,3.7828603
2015-01-02 7:00,4.5,52,0.22206283
2015-01-02 8:00,4.5,52,-2.7554574
2015-01-02 9:00,4.5,52,-2.3826408
2015-01-02 10:00,4.5,52,-2.2974544
2015-01-02 11:00,4.5,52,-1.7051575
2015-01-02 12:00,4.5,52,-1.2792246
2015-01-02 13:00,4.5,52,-0.88335776
2015-01-02 14:00,4.5,52,-0.8372569
2015-01-02 15:00,4.5,52,-0.57768846
2015-01-02 16:00,4.5,52,-0.7961669
2015-01-02 17:00,4.5,52,-1.1810095
2015-01-02 18:00,4.5,52,-0.9895904
2015-01-02 19:00,4.5,52,-0.4904976
2015-01-02 20:00,4.5,52,0.040665627
2015-01-02 21:00,4.5,52,0.3102559
2015-01-02 22:00,4.5,52,-0.17580843
2015-01-02 23:00,4.5,52,-0.16879308
2015-01-03 0:00,4.5,52,0.25012422
2015-01-03 1:00,4.5,52,1.2152376
2015-01-03 2:00,4.5,52,1.737381
2015-01-03 3:00,4.5,52,2.7175274
2015-01-03 4:00,4.5,52,3.1394513
2015-01-03 5:00,4.5,52,3.447125
2015-01-03 6:00,4.5,52,3.8149304
2015-01-03 7:00,4.5,52,3.3318727
2015-01-03 8:00,4.5,52,2.798705
2015-01-03 9:00,4.5,52,2.5972638
2015-01-03 10:00,4.5,52,2.9700804
2015-01-03 11:00,4.5,52,3.8029041
2015-01-03 12:00,4.5,52,4.125611
2015-01-03 13:00,4.5,52,3.4250767
2015-01-03 14:00,4.5,52,2.7014923
2015-01-03 15:00,4.5,52,1.7393854
2015-01-03 16:00,4.5,52,0.5748353
2015-01-03 17:00,4.5,52,-0.67690575
2015-01-03 18:00,4.5,52,-1.1329043
2015-01-03 19:00,4.5,52,-1.9136138
2015-01-03 20:00,4.5,52,-2.9609075
2015-01-03 21:00,4.5,52,-3.3247037
2015-01-03 22:00,4.5,52,-4.010205
2015-01-03 23:00,4.5,52,-3.9170008
2015-01-04 0:00,4.5,52,-3.3998685
2015-01-04 1:00,4.5,52,-3.021039
2015-01-04 2:00,4.5,52,-2.7233872
2015-01-04 3:00,4.5,52,-2.8496637
2015-01-04 4:00,4.5,52,-2.8987713
2015-01-04 5:00,4.5,52,-2.7674837
2015-01-04 6:00,4.5,52,-2.7233872
2015-01-04 7:00,4.5,52,-2.434755
2015-01-04 8:00,4.5,52,-2.3225093
2015-01-04 9:00,4.5,52,-2.193226
2015-01-04 10:00,4.5,52,-1.5057206
2015-01-04 11:00,4.5,52,-1.5317776
2015-01-04 12:00,4.5,52,-1.7973592
2015-01-04 13:00,4.5,52,-1.8905635
2015-01-04 14:00,4.5,52,-1.3283322
2015-01-04 15:00,4.5,52,-0.5576446
2015-01-04 16:00,4.5,52,0.027637005
2015-01-04 17:00,4.5,52,0.5878638
2015-01-04 18:00,4.5,52,0.95767367
2015-01-04 19:00,4.5,52,1.3695756
2015-01-04 20:00,4.5,52,1.6592098
2015-01-04 21:00,4.5,52,1.9187782
2015-01-04 22:00,4.5,52,2.220439
2015-01-04 23:00,4.5,52,2.5671983
2015-01-05 0:00,4.5,52,2.7546086
2015-01-05 1:00,4.5,52,2.9159617
2015-01-05 2:00,4.5,52,2.7656326
2015-01-05 3:00,4.5,52,2.5591807
2015-01-05 4:00,4.5,52,2.5682003
2015-01-05 5:00,4.5,52,2.8538258
2015-01-05 6:00,4.5,52,3.2076006
2015-01-05 7:00,4.5,52,3.5162764
2015-01-05 8:00,4.5,52,3.7728384
2015-01-05 9:00,4.5,52,4.075501
2015-01-05 10:00,4.5,52,3.9752815
2015-01-05 11:00,4.5,52,3.6876516
2015-01-05 12:00,4.5,52,3.5764081
2015-01-05 13:00,4.5,52,3.5072567
2015-01-05 14:00,4.5,52,3.679634
2015-01-05 15:00,4.5,52,3.8560205
2015-01-05 16:00,4.5,52,3.6034675
2015-01-05 17:00,4.5,52,3.689656
2015-01-05 18:00,4.5,52,3.6034675
2015-01-05 19:00,4.5,52,3.597454
2015-01-05 20:00,4.5,52,3.4992392
2015-01-05 21:00,4.5,52,3.4381053
2015-01-05 22:00,4.5,52,3.0572715
2015-01-05 23:00,4.5,52,3.127425
2015-01-06 0:00,4.5,52,3.2426772
2015-01-06 1:00,4.5,52,3.2577102
2015-01-06 2:00,4.5,52,3.2286468
2015-01-06 3:00,4.5,52,3.3158374
2015-01-06 4:00,4.5,52,3.4962325
2015-01-06 5:00,4.5,52,3.5824213
2015-01-06 6:00,4.5,52,3.46316
2015-01-06 7:00,4.5,52,3.46316
2015-01-06 8:00,4.5,52,3.5764081
2015-01-06 9:00,4.5,52,3.8189392
2015-01-06 10:00,4.5,52,3.678632
2015-01-06 11:00,4.5,52,3.580417
2015-01-06 12:00,4.5,52,3.3879955
2015-01-06 13:00,4.5,52,3.437103
2015-01-06 14:00,4.5,52,3.4340966
2015-01-06 15:00,4.5,52,3.6696122
2015-01-06 16:00,4.5,52,4.1135845
2015-01-06 17:00,4.5,52,4.940395
2015-01-06 18:00,4.5,52,5.1548643
2015-01-06 19:00,4.5,52,4.2318435
